一店的,1548233984304802,驼房营,37653501712384,共禾之约·创意轻食,1548239266805292,A2,驼房营  北京,共禾之约·创意轻食(驼房营）,A2,4257,北京
一店的,1548233984304802,驼房营,1550026524309108,曼玲粥,1548239267976654,B3,驼房营  北京,曼玲粥铺-驼房营,B3,4628,北京
一店的,1548233985568475,软件园,1550026508326873,洁捷快餐,1548239285181612,B2,软件园  北京,洁捷快餐-软件园,B2,5395,北京
一店的,1548233985910790,梨园,37653502038016,三米粥铺,1548239291048353,A13,梨园  北京,三米粥铺-梨园店,A13,4399,北京
一店的,1548233986082122,酒仙桥二店,37653502130176,五姐烤肉拌饭,1548239293397578,A15,酒仙桥二店  北京,五姐烤肉拌饭（酒仙桥店）,A15,4644,北京
一店的,1548233987348756,广渠门,37653502416896,共禾之约·创意轻食,1548239312103377,A13,广渠门  北京,共禾之约-广渠门,A13,4026,北京
一店的,1548233988217556,大望路,37653502488576,kido轻食,1548239324804569,B2,大望路店  北京,KIDO轻食（大望路店）,B2,4235,北京
一店的,1548233988385650,五道口一店,37653502531584,果果来了鲜果切,1548239325974110,A1,五道口一店  北京,果果来了鲜果切,A1,4295,北京
一店的,1548233988556195,石景山,37653502617600,食肆商务套餐,1548239329941871,A6,石景山,食肆商务套餐-石景山,A6,5714,北京
一店的,1548233988556195,石景山,37653502617600,食肆商务套餐,1548239330088724,A7,石景山,食肆商务套餐-石景山,A7,5714,北京
一店的,1557397275473578,牡丹园,1550026516375198,湘香小厨,1557397362270985,B9,牡丹园  北京,湘香小厨-牡丹园,B9,5093,北京
一店的,1548233985739387,日坛,1550026511652975,中街1946,1548239287684629,A2,日坛店 北京,中街1946-日坛店,A2,4937,北京
一店的,1548233982792607,悠乐汇,1550026528106777,真功夫,1548239249452807,A8,"悠乐汇,悠乐汇  北京",真功夫  悠乐汇店,A8,3939,北京
一店的,1548233985397507,上地,1550026509724179,四有青年,1548239283282959,B10,上地   北京,四有青年上地,B10,4704,北京
一店的,1548233986981233,国展,1550026509724179,四有青年,1548239305149948,A2,国展  北京,四有青年-国展,A2,5697,北京
一店的,1553865620850490,马家堡,1559532536593103,汉华堡,1553865821795269,A8,马家堡  北京,汉华堡-马家堡,A8,5022,北京
一店的,1548233985910790,梨园,37653503641600,溜哥炒饭,1548239291194871,A15,梨园  北京,溜哥炒饭-梨园,A15,4960,北京
一店的,1548233988556195,石景山,37653503664128,酥先生烤鱼饭,1548239331258503,B3,石景山,酥先生烤鱼饭-石景山,B3,5715,北京
一店的,1548233989054830,星光影视园2F,1558340403865721,百味佳快餐,1548239335078336,B2,星光影视园2F,百味佳快餐-星光影视园2F,B2,5723,北京
一店的,1558349108715778,新荟城二店,37653503733760,熊先生三文鱼饭,1558349175890517,A8,新荟城二店北京,熊先生三文鱼饭（新荟城二店）,A8,4711,北京
一店的,1548233982097535,枣营麦子店,37653503797248,健身御厨·健康轻食,1548239244418293,B2,枣营麦子店 北京,健身御厨健康轻食,B2,4654,北京
一店的,1548233985739387,日坛,37653503924224,ChooChooFun,1548239287976798,A4,日坛店 北京,ChooChooFun-日坛店,A4,4939,北京
一店的,1548233986416119,建国门,37653503987712,云天炖品 · 鲍鱼饭,1548239300276196,A16,建国门  北京,云天炖品-建国门店,A16,4945,北京
一店的,1548233988385650,五道口一店,1561563373767585,牛小贤麻辣拌·烫,1548239328749733,B7,五道口一店  北京,牛小贤麻辣拌·烫-五道口一店,B7,5644,北京
一店的,1548233989054830,星光影视园2F,37653504225280,辣喊麻辣香锅,1548239334034503,A5,星光影视园2F,辣喊麻辣香锅-星光影视园2F,A5,5724,北京
一店的,1548233989054830,星光影视园2F,1556254210686457,蒸好吃小碗菜,1548239334325263,A7,星光影视园2F,蒸好吃小碗菜-星光影视园2F,A7,5725,北京
一店的,1557397275473578,牡丹园,1559125177806634,空投炸串,1557397359688477,B4,牡丹园  北京,空投炸串-牡丹园,B4,5094,北京
一店的,1558349108715778,新荟城二店,37653504358400,52Hz味道,1558349175599266,A5,新荟城二店北京,52Hz味道-新荟城二店,A5,5659,北京
