拜托了炒饭炒饼(7号档口北工大美食城店),大兴区,北京经济技术开发区地盛北街1号院18号楼一层101,10:00-21:00,中式简餐,,4.0,41,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满20减19;满45减25;满69减35;满95减45,折扣商品4.24折起",17316232427,,五百强牛肉炒面-30,矿泉水品牌随机-20,五百强鸡蛋炒面-10,榨菜火腿蛋炒饭-10,特色午餐肉炒饭-10
米小巢●花式蛋包饭（满座美食城店）,朝阳区,太阳宫乡芍药居村甲3号院内第三幢楼,09:29-21:30,中式简餐,,4.6,2078,"新用户立减11元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减20;满50减24;满80减35;满110减45,折扣商品3.99折起,领3元券;领5元券;领8元券,实际支付10元返3元商家代金券,下单即赠秘制小咸菜1份",13718212695,21
食味茶餐厅（学院路店）,海淀区,学院路15号学术交流中心一层103、105、106、107、108号,"10:30-14:00,16:30-20:50",中式简餐,,4.8,489,"新客爆品专享1元特价商品,新用户立减11元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满50减10;满80减20;满130减30,折扣商品1.24折起",13522412740,32,鸡蛋肠粉-400,爽滑牛肉肠粉-300,叉烧拼烧鸭饭-200,叉烧肠粉-200,干炒牛河-200
沸点麻辣烫（西小营店）,海淀区,北京市海淀区苏家坨乡西小营村东（川西坝子旁边）,10:00-22:00,美团专送,快餐小吃,4.0,49,"满25减4;满32减6;满50减8,本店新用户立减8元,折扣商品3.32折起",16600244951,,蒜末-300,辣椒油-300,麻油-300,培根-200,撒尿牛丸-200
蜜碳小腰（烧烤）,海淀区,北京市海淀区清华东路25号1号楼3层312-315室(六所大厦3层),"00:00-02:00,17:10-23:59",烤串,,4.4,3351,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满58减28;满88减43;满118减55;满188减65;满288减88,满49元可使用津贴4元,折扣商品4.8折起",18612369083,22,精品羊肉串-4000,土豆片-3000,精品五花肉-3000,面筋-3000,鱼豆腐-3000
东北水饺(第4档口-满座美食城店),海淀区,北京市海淀区紫雀路55号院地下一层,10:30-19:30,饺子,,0.0,7,"新用户立减1元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满28减9;满35减11;满55减17",15650798687,,醋辣椒油-40,醋辣椒油-32,酱油醋-20,蒜泥（放在小料里面）-14,酱油醋-14
岑府私厨,海淀区,学清路10号院学清嘉创大厦3层,"10:00-14:00,17:00-21:00",私房菜,,0.0,48,满45减3,01082718090,58,米饭-70,小葱煎豆腐（小份）-30,私厨酱汁肉-20,京东肉饼-10,响油鳝糊（小份）-10
鲜花,海淀区,北京市海淀区温泉镇白家疃村31号平房,07:00-22:00,超市便利,超市卖场,0.0,0,满200减50,13621071801,,19朵红玫瑰-None,一生一世-None,大卖大卖-None,恭喜发财-None,早日康复-None
草原情（蒙古风味·羊蝎子）,海淀区,北京市海淀区展春园西路1号(近华联商厦),"11:00-13:50,17:00-23:55",饼类,,0.0,59,,01056927170,,呼市烧麦-50,内蒙羊杂汤-30,烤鸡胗-30,一品闷羊蹄-20,羊肉土豆盖莜面窝窝-20
韵·料理,海淀区,学清路甲8号,"11:00-13:30,16:30-21:00",日韩料理,日本料理,0.0,59,满30减10;满50减15;满80减25,010-62919681,32,博多豚骨汤拉面+蔬菜沙拉+泡菜-30,味增拉面+蔬菜沙拉+泡菜-20,三文鱼手握（1个）-10,三文鱼细卷（6个）-10,全城热恋（4个）-10
早乐·品致早餐（清华店）,海淀区,水磨新区33号北起第一间,05:20-14:30,美团专送,快餐小吃,4.4,3171,"新用户立减6元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满26减13;满49减16;满79减23;满150减39;满300减69,折扣商品0.33折起",18301626975,19,哥窑茶蛋-1048,棒槌油条-731,天津煎饼果子（夹薄脆）-720,香浓玉米豆浆-540,手工红糖糖油饼-336
711便利店（和平里中街西口店）,东城区,北京市东城区和平里中街19号2号楼,00:00-23:59,超市便利,超市卖场,4.9,510,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,两件11元:满13.8减2.8,第二件半价:满38减9.5,豪铂熊满减:满31.6减7.9,第二件1元:满17减7.5,小麦王满减:满11减2.2,苏尔啤酒满减:满26减12,第二件优惠:满27.6减12.8,两件优惠:满11减1.1,三件优惠:满11.4减1.5,燕京鲜啤满减:满13.8减3.5,折扣商品5折起,部分商品第2件5折等2个活动,部分商品第2件1元等13个活动,两件优惠:14.9元2件,两件优惠:7.4元2件,两件89元:89元2件,两件8元:8元2件,两件优惠:16.5元2件,两件7折:95.2元2件,部分商品满18减5,部分商品满30减6,部分商品满50减11,部分商品满39减10,部分商品满49减15,部分商品满99减30,部分商品满39减10,部分商品满15减3,部分商品满12减2,购买指定商品有赠品",010-64217010,
米粉米线(第8号档口-满座儿美食城店),海淀区,北京市海淀区紫雀路55号院地下一层,10:00-20:20,米粉米线,,4.2,170,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满25减5;满38减8;满50减10;满80减15,本店新用户立减3元",15210557344,,豆腐扣-200,牛肉米粉-99,羊肉米粉-50,肥肠米粉-50,豆腐扣-49
頭壹號大油条（和平里店）,东城区,北京市东城区和平里中街19号1幢1层106室,06:00-21:30,豆浆油条,,4.6,5288,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满25减3;满35减9,满29元可使用津贴6元,本店新用户立减2元,折扣商品7.07折起,领2元券;领5元券;领6元券",13581593511,18,葱花大油条-17000,茶叶蛋-11000,糖油饼-6000,老北京肉龙-4000,小米粥-3000
老刘家羊肉泡馍（第15档口-东单菜市场美食城店）,东城区,北京市东城区和平里西街69号,08:30-21:00,中式简餐,,4.2,4449,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满26减18;满56减26;满86减46;满106减56;满198减100,满2元可使用津贴2元,本店新用户立减1元,折扣商品4折起,领4元券;领6元券;领10元券",17743568091,16,羊肉泡馍-5000,羊肉泡馍+肉夹馍+红茶-4000,羊杂粉丝汤+肉夹馍-3000,白吉饼-2000,肉夹馍（普通）-2000
满座儿烤肉拌饭(第1档口-满座儿美食城店),海淀区,北京市海淀区紫雀路55号院地下一层,09:30-20:28,中式简餐,,4.5,1909,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满23减20;满50减44;满99减60,本店新用户立减2元,折扣商品4.38折起",15386977088,16,蜜汁烤肉拌饭＋果汁＋烤肠-659,香辣脆皮鸡拌饭+果汁+烤肠-541,香辣双拼饭➕烤肠-500,蜜汁双拼饭➕烤肠-281,孜然烤肉拌饭-200
江南荷叶炒饭（第15档口-东单菜市场美食城店）,东城区,和平里西街69号,00:00-23:59,中式简餐,,4.3,1691,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减13;满50减20;满85减29,折扣商品5.45折起",18310179026,21,煎蛋-2000,台湾风味烤肠-800,什锦荷叶炒饭-700,酸辣豆角荷叶炒饭-400,骨肉相连-400
小茶堂（环保园店）,海淀区,北京市海淀区紫雀路55号院地下一层,10:00-20:00,甜点饮品,奶茶果汁,4.9,63,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满5减3;满28减12;满68减29;满85减38,本店新用户立减1元,折扣商品0.5折起,实际支付10元返2元商家代金券",18612889483,14,珍珠波霸奶茶-108,珍珠波霸奶茶-100,原味奶茶@经典爆款-73,【特惠】金桔凤梨茶-64,【特惠】珍珠波霸奶茶-61
映庐（北航店）,海淀区,北四环中路242号（平房）,"11:00-14:00,16:45-21:00",江西菜,,4.3,1190,"新用户立减6元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满38减10;满78减20;满118减47;满188减48,本店新用户立减1元",010-82323046,35,米饭-4000,南昌炒粉-2000,江西米糕-2000,瓦罐排骨汤-900,牛肉饼-800
快客(和平里店),东城区,东城区和平里小区3区5号楼4门一层底商,07:00-22:00,超市便利,超市卖场,0.0,2,"折扣商品6.25折起,部分商品第2件5折,部分商品第2件1元等2个活动,3条11元:11元3件,10元两瓶:10元2件,13元2瓶:13元2件,部分商品满30减6,部分商品满12减2,部分商品满50减11,部分商品满15减5,部分商品满49减15,部分商品满15减3,部分商品满18减5,部分商品满99减30,部分商品满39减10,部分商品满39减10",010-84226395,
铁掌豆腐宴,海淀区,北京市海淀区学院路7号弘彧大厦5层,"11:00-14:00,17:00-21:00",中式简餐,,0.0,20,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满20减4",18519018960,,五花炒千叶-10,五花豆腐煲-10,大煮干丝-10,小炒野山笋-10,热豆花-10
好劲道手擀面（第13档口–壹中心美食城店）,东城区,北京市东城区和平里东街11号创新楼B座B1-A9号(地下一层),09:30-20:30,面馆,,4.0,598,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满26减10;满33减12;满55减18;满88减24;满100减30,折扣商品5.98折起",15500445741,21,手擀面-700,咸鸭蛋-300,鸡蛋酱（单点不配送）-300,茄子卤（单点不配送）-200,西红柿鸡蛋卤（单点不配送）-200
九头鸟酒家（学清路店）,海淀区,北京市海淀区学清路10号院1号楼A座3层305(东升地区),"10:30-13:50,16:30-20:50",湖北菜,,4.8,155,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减5;满50减10;满100减25;满150减35,折扣商品6折起,实际支付0元返2元商家代金券","01082758826,01082758825",33,武汉热干面-200,莲藕炖排骨-200,钵子米饭-162,小白菜溜豆腐-100,孝感米酒-80
一碗面（壹中心店）,东城区,和平里西街51号雍和宫壹中心创新楼b座地一层,09:40-21:00,面馆,,4.7,423,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满35减5;满55减15;满80减24",15701226880,21,单加青菜-300,单加抄手-200,老麻抄手（大份）-200,肉夹馍-200,豌豆杂酱面（小份）-200
禾地餐厅,海淀区,北京市海淀区成府路20号,"10:00-14:30,16:50-21:50",中式简餐,,4.6,226,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元",01082327330,20,果粒橙-200,猪肉白菜-200,猪肉韭菜-200,肉丝炒饼/面-200,锅包肉-200
莎莎Salsa（三里屯店）,朝阳区,北京市朝阳区新东路1号南一幢一层部分,"10:00-14:00,17:00-21:00",北京菜,,4.7,434,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满35减12;满70减26;满120减40,本店新用户立减1元,折扣商品5折起","010-85321980,15144455655",27,莎莎煎饼-400,番茄鸡蛋+酸辣土豆丝+米饭套餐-300,米饭-300,上汤苋菜-200,小份酸菜麻香水煮鱼+米饭+冰粉套餐-200
郭林家常菜（奥林匹克店）,朝阳区,北京市朝阳区安翔北里甲11号院1号楼B座1层,"10:00-14:00,17:10-20:29",北京菜,,4.6,1980,"新用户立减22元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满65减15;满100减20",01064844865,30,米饭-5000,大花卷-2000,宫保鸡丁-1000,素烧茄子(小份）-900,鱼香肉丝-700
茶汤李京味餐厅,东城区,东城区和平里七区三十号楼底商,10:00-21:00,北京菜,,4.8,499,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元",010-64279255,34,门丁肉饼（1个）-3000,米饭-500,杏仁茶-400,茶汤-300,面茶-300
正宗香河肉饼(第2档口＋五建小区美食城店),朝阳区,南沙滩（五建宿舍锅炉房）,"10:40-15:00,17:00-23:20",饼类,,4.7,2838,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满25减7;满50减20;满80减30,折扣商品3.75折起",18791307480,18,招牌肉饼+玉米粥+咸鸭蛋+爽口榨菜-6000,牛肉大葱饼-3000,猪肉大葱-2000,玉米粥-2000,韭菜鸡蛋饼-2000
陆记淮南牛肉汤（第5档口+五光食色美食城店）,东城区,东直门外大街39号五光十色美食城,09:00-20:30,中式简餐,,2.6,119,满25减6;满35减8;满45减10;满55减13;满65减14,18515899939,19,安徽烧饼-300,淮南牛肉汤套餐-300,河南羊肉烩面-200,牛肉单加-90,淮南牛肉汤-70
满座儿（大屯路店）,朝阳区,北京市朝阳区亚运村大屯路甲3号,"10:30-14:00,17:00-20:00",中式简餐,,4.5,842,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减20;满60减38;满100减52;满120减74","010-57418030,15904460655",15,现蒸大米饭-700,小炒扁豆丝（小份菜）-300,宫保鸡丁＋肉末四季豆-200,宫爆鸡丁（小份菜）-200,手撕包菜（小份菜）-200
衡山汇（霄云路店）,朝阳区,东三环北路霄云路21号嘉里大通附楼（女人街西侧200米路口南侧）,10:30-22:30,粤菜,,4.4,622,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满50减16;满78减27;满100减35,满5元可使用津贴3元,折扣商品0.08折起",010-64661211,43,F款:黑椒牛肉+榄菜四季豆+蔬菜+米饭+汤-200,番茄炒蛋-200,虾饺（4只）-200,鲜虾肠粉-200,现做原煲配送-港式腊味煲仔饭+汤/饮品（需时30分钟）-90
小东北饺子·东北菜(奥林匹克店),朝阳区,林萃西里16号楼(华创生活广场2层),"09:30-14:00,17:00-21:00",东北菜,,4.1,1309,"新用户立减22元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满38减10;满60减20;满100减30,折扣商品5折起",01057761966,20,米饭大份-2000,鸡蛋炒饼-1000,猪肉酸菜饺子-700,腊八蒜-600,辣椒油包-500
蒋老头重庆小面（和平西桥店）,朝阳区,北京市朝阳区和平街11区甲35号楼(西侧部分)(一层),10:00-21:30,面馆,,0.0,68,满30减5;满55减10,13811746405,21,农夫山泉-70,煎蛋-70,碗杂面-50,老头担担面-40,唯怡豆奶-30
红辣椒家常菜（清华店）,海淀区,成府水磨中街新区2,"10:00-14:00,16:00-23:30",美食,川湘菜,3.9,537,"新客爆品专享1元特价商品,新用户立减11元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减4;满60减10,本店新用户立减1元,折扣商品4.66折起",13552318195,28,双椒牛肉沫盖饭-200,土豆丝牛肉丝盖饭-200,小炒黄牛肉盖饭-200,米饭-200,小炒肉盖饭-100
拉蒂娜Latina（北京店）,朝阳区,东方东路19号亮马桥外交办公大楼官舍2楼201,11:00-21:30,烤串,,0.0,104,"满50减8;满100减18,折扣商品4.75折起",010-85315287,49,安格斯牛腩膜/Angus bottom sirloin-200,巴西黑豆/Black Beans-200,无需餐具-200,米饭/rice-100,澳洲牛三角肉/Top sirloin-80
全聚德（清华园店）,海淀区,北京市海淀区中关村东路1号院清华科技园8号楼启迪科技大厦A101,"11:00-13:30,17:00-20:30",北京菜,,5.0,172,"新用户立减22元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满40减4;满70减5;满120减6","01082151015,01082150018",93,全聚德烤鸭（套）烤制60分钟-400,荷叶饼（屉）-200,糟溜鱼片-60,葱油拌面-60,三鲜豆腐-50
PizzaMarzano玛尚诺比萨(官舍店),朝阳区,北京朝阳区东方东路19号亮马桥外交办公大楼（汇佳大厦附近底商1层）,10:30-21:30,汉堡披萨,意面披萨,4.7,393,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满20减10;满90减30;满130减40,满19元可使用津贴4元,折扣商品3.76折起,购买指定商品有赠品",01085315016,53,意式经典阿尔巴披萨-100,香烤鸡翅4只（原味）-100,皇后披萨-90,传统玛嘉丽塔披萨-70,意式四肉荟萃披萨-70
龙人居·水煮三峡鱼（五道口店）,海淀区,成府路28号6层602室07号,"10:30-14:00,17:00-21:30",美食,川湘菜,4.6,1006,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满49减10;满85减17;满129减30;满179减37;满249减42,折扣商品8.42折起","01087538661,01087538662",71,龙人水煮鱼•乌江鱼（2.5斤）-600,宫保鸡丁-500,龙人水煮鱼•草鱼（2.5斤）-500,家乡酸菜脆笋-400,歌乐山辣子鸡-400
为人民服务Serve the people,朝阳区,三里屯西五街一号（为人民服务餐厅）,10:30-22:00,泰国菜,,0.0,46,,"010-64686053,18810882782",86,绿咖喱鸡肉-50,什锦蔬菜-30,泰式小炒肉-30,虾汤（冬阴功汤）-30,虾酱空心菜-30
胡同小馆（知春路店）,海淀区,知春路29号10号楼2层202,"10:30-14:00,16:30-20:00",中式简餐,,0.0,30,"新用户立减6元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满50减5;满80减15;满120减25",010-62006571,35,米饭-200,宫保鸡丁＋米饭-50,小炒菜花＋米饭-30,果仁爆鸡柳-30,生炒有机菜花-30
Green Option（官舍店）,朝阳区,北京市朝阳区东方东路19号1号楼会所41号,10:00-21:00,沙拉,,4.8,1369,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满100减10",010-85326178,52,订餐必读-6000,蔓越莓玛芬【1个】-400,香芒椰脆燕麦酸奶-300,午时风【450ml】-200,阳光庭院【450ml】-200
老马兰州拉面,海淀区,北京市海淀区太舟坞408号北侧平房,10:30-23:59,,,4.4,944,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元","15719600984,16619846995",30,羊肉串-4000,肉筋-3000,烤面筋-2000,烤鸡肉串-2000,烤鱼豆腐-1000
龙船人（温泉店）,海淀区,北京市海淀区太舟坞408号,"10:00-14:00,16:30-20:53",海鲜,,4.2,753,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满20减4;满50减8;满90减12,折扣商品1.71折起,满100元赠送可乐两听",010-62486268,33,台湾三杯鸡-2000,铁板台式烤肠炒饭-600,海鲜炒饭-400,船家拌腐竹-400,香辣鱿鱼头-400
悦友烤肉,海淀区,温泉镇向山路中关村创客小镇底商107号,10:30-22:00,中式烤肉,,5.0,165,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元",13910960707,35,脆骨-500,鸡软骨-400,椒香牛板筋-300,簋街小腰-300,鸡胗-300
最西安,海淀区,温泉镇创客小镇社区配套商业楼16#楼一层103室最西安,10:15-21:30,肉夹馍,,3.8,530,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满60减5;满100减8",15811406672,27,老潼关肉加馍-600,土豆牛肉饭-200,岐山臊子面-200,田园蔬菜加馍-200,秦镇米皮-200
大叔羊汤(第2号档口-天兰美食城店),海淀区,北京市海淀区温泉镇温泉路临58号四层422、423、424号,09:20-20:30,汤类,,4.2,318,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满25减5;满45减8;满65减12,折扣商品7折起",13911685994,25,麻酱烧饼-309,烧饼夹肘子-95,香菜末-88,羊肉汤➕烧饼-78,老北京羊杂汤-73
渝和喵叔米线,海淀区,北京市海淀区温泉镇温泉路临58号四层411号（天兰美食城四层）,09:00-21:00,米粉米线,,4.2,446,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满25减8;满50减15;满88减25,折扣商品9.5折起","13522402007,010-60974498",21,微辣金汤肥牛米线-300,葱油饼-300,白米线-200,经典番茄鱼片米线-200,豆皮-200
创客美食惠,海淀区,温泉镇创客小镇社区配套商业楼3号楼1层101室,"11:00-13:30,17:30-20:50",中式简餐,,0.0,45,"满20减3;满45减6;满100减12,本店新用户立减2元",13436317242,23,米饭-200,肉包子（2个）-30,小炒肉盖饭-10,尖椒皮蛋-10,烤馒头片-10
山西面馆（剔尖面）,海淀区,温泉镇北部文化中心D座5层（耀莱影城上）,"10:55-14:29,16:30-20:55",面馆,,4.3,75,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满25减5;满30减8;满50减12;满80减20,实际支付38元返5元商家代金券",15321277290,18,秘制羊肉串-300,西红柿+小炒肉(经典必点)刀削面-100,卤豆腐-60,茄子豆角+西红柿(剔尖面)-60,臊子黄豆+茄子豆角卤(剔尖面)-50
玖味拾香米线,海淀区,北京市海淀区温泉镇北部文化中心D座2层208、209、210、211商铺,10:20-21:00,米粉米线,,4.6,2186,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满25减10;满35减13;满60减20;满100减26;满500减121,本店新用户立减1元,折扣商品0.29折起,实际支付30元返2元商家代金券","13269807776,14701264726",22,经典番茄过桥米线-1000,米线-700,经典藤椒过桥米线-600,辣椒油-500,油条-300
世纪华联超市（西山林语店）,海淀区,冷泉村西北街227号,08:00-23:39,超市便利,超市卖场,4.7,287,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,折扣商品6.25折起,部分商品满30减6,部分商品满12减2,部分商品满18减5,部分商品满50减11,部分商品满15减3,部分商品满15减5,部分商品满49减15,部分商品满39减10",010-82460708,
正一味石锅拌饭(温泉小镇店),海淀区,北京市海淀区温泉小镇白家疃北部文化中心D座一层,10:00-21:00,日韩料理,韩式简餐,4.5,2494,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满35减6;满50减20;满70减30,折扣商品0.83折起",01056912853,24,煎鸡蛋-2000,肥牛石锅拌饭-900,金枪鱼拌饭-900,正一味石锅拌饭-800,玲珑鸡块-700
宇飞牛肉面（志新路店）,海淀区,二里庄35号万和大厦一层（二里庄物美对面）,"11:00-14:30,17:00-22:30",中式简餐,,4.7,1269,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满35减9;满60减13;满80减17;满100减22",01062324900,30,大碗牛肉拉面-2000,小碗牛肉拉面-800,茶叶蛋-500,加量牛肉拉面-300,双拼（海带丝，腐竹）-300
来湘园（冷泉店）,海淀区,冷泉林语山庄三区23号楼1层105,10:30-21:00,美食,川湘菜,3.9,1837,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满31减3;满55减5;满88减8;满108减10",010-82466388,21,蛋汤-2000,农家小炒肉盖饭-900,宫保鸡丁盖饭-700,肉炒刀削面-600,地三鲜盖饭-500
